Gun Number = TKE COMBO 2
Device Number = GF220600004
Customer Name = TATA
Line No = line-c9b2402c-73c6-4101-b0b3-c29ccc4605d1
Station Number = GF-5423
Controller Number = GF-2345
Part Name = car
Tip Force KGF at 5bar = 500
Throat Depth mm = 500
Throat Gap mm = 200
Is Device Deactivated = true
Deactivated Reason = NA


"DeviceID","DateTime","HardwareID","Program","PowerFactor","ActualWeldTimeCycles","HeatPertinCurrentIp","ActualCurrent","Error_code","PrimaryCurrent","Line_Voltage"
"GF220600004","18-11-2022 15:23:29","0","P001","0","15","---","9.49","E000",,
"GF220600004","18-11-2022 15:57:09","0","P001","0.8","15","---","9.49","E000",,
"GF220600004","18-11-2022 16:40:43","0","P001","0","15","---","9.49","E000",,
"GF220600004","18-11-2022 17:05:21","0","P001","0","15","---","9.49","E000",,
"GF220600004","18-11-2022 17:08:50","0","P001","0","15","---","9.49","E000",,
"GF220600004","18-11-2022 17:11:01","0","P001","0","15","---","9.49","E000",,
"GF220600004","18-11-2022 17:16:16","0","P001","0","15","---","9.49","E001",,
"GF220600004","18-11-2022 17:16:52","0","P001","0","15","---","9.49","E021",,
"GF220600004","18-11-2022 17:17:18","0","P001","0","15","---","9.49","E022",,
"GF220600004","19-11-2022 12:11:56","0","P001","0","15","---","9.49","E022",,
"GF220600004","19-11-2022 12:26:26","0","P001","0","15","---","9.49","E022",,
"GF220600004","19-11-2022 12:35:33","0","P001","0","15","---","9.49","E022",,
"GF220600004","19-11-2022 12:35:50","0","P001","0","15","---","9.49","E022",,
"GF220600004","20-11-2022 10:09:21","0","P001","0","15","---","9.49","E022",,
"GF220600004","20-11-2022 10:28:18","0","P001","0","15","---","9.49","E022",,
"GF220600004","20-11-2022 10:49:49","0","P001","0","15","---","9.49","E022",,
"GF220600004","20-11-2022 12:39:11","0","P001","0","15","---","9.49","E022",,
"GF220600004","20-11-2022 13:28:23","0","P001","0","15","---","9.49","E022",,
"GF220600004","20-11-2022 13:28:38","0","P001","0","15","---","9.49","E022",,
"GF220600004","20-11-2022 13:29:42","0","P001","8","50","---","9.49","E022",,
"GF220600004","20-11-2022 13:32:04","0","P001","8","50","---","9.49","E022",,
"GF220600004","20-11-2022 14:17:12","0","P001","0.00","15","---","9.49","E000",,
"GF220600004","20-11-2022 14:18:29","0","P001","0.00","15","---","9.49","E000",,
"GF220600004","20-11-2022 14:19:20","0","P001","0.00","15","---","9.49","E000",,
